# تنسيق سجل الوصول
192.168.1.100 - admin [15/Jan/2024:08:30:15 +0300] "GET /admin/dashboard HTTP/1.1" 200 15432 "https://admin.hostingsystem.com/" "Mozilla/5.0" 0.045
203.0.113.5 - client45 [15/Jan/2024:09:15:45 +0300] "POST /api/login HTTP/1.1" 401 125 "https://app.hostingsystem.com/login" "Mozilla/5.0" 0.012
192.168.1.150 - support3 [15/Jan/2024:10:20:33 +0300] "GET /api/tickets/789 HTTP/1.1" 200 8765 "https://support.hostingsystem.com/" "Mozilla/5.0" 0.023
185.220.101.5 - - [15/Jan/2024:14:30:55 +0300] "POST /api/login HTTP/1.1" 429 89 "-" "python-requests/2.28.2" 0.008
192.168.1.100 - admin [15/Jan/2024:15:45:22 +0300] "PUT /api/security/policy HTTP/1.1" 204 0 "https://admin.hostingsystem.com/security" "Mozilla/5.0" 0.078

# Schema: IP - User [Timestamp] "Request" Status Size "Referer" "UserAgent" ResponseTime{"user_id":1,"page":"\/Hosting-Security\/pages\/admin\/ManagerHostingSecurity\/admin-panel\/pages\/dashboard.php","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/145.0.0.0 Safari\/537.36","method":"GET","timestamp":"2026-03-01 00:29:47"}
{"user_id":1,"page":"\/Hosting-Security\/pages\/admin\/ManagerHostingSecurity\/admin-panel\/pages\/dashboard.php","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/145.0.0.0 Safari\/537.36","method":"GET","timestamp":"2026-03-01 00:31:51"}
{"user_id":1,"page":"\/Hosting-Security\/pages\/admin\/ManagerHostingSecurity\/admin-panel\/pages\/dashboard.php","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/145.0.0.0 Safari\/537.36","method":"GET","timestamp":"2026-03-01 00:32:15"}
{"user_id":1,"page":"\/Hosting-Security\/pages\/admin\/ManagerHostingSecurity\/admin-panel\/pages\/dashboard.php","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/145.0.0.0 Safari\/537.36","method":"GET","timestamp":"2026-03-01 00:32:36"}
{"user_id":1,"page":"\/Hosting-Security\/pages\/admin\/ManagerHostingSecurity\/admin-panel\/pages\/dashboard.php","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/145.0.0.0 Safari\/537.36","method":"GET","timestamp":"2026-03-01 00:32:37"}
{"user_id":1,"page":"\/Hosting-Security\/pages\/admin\/ManagerHostingSecurity\/admin-panel\/pages\/dashboard.php","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/145.0.0.0 Safari\/537.36","method":"GET","timestamp":"2026-03-01 00:32:51"}
{"user_id":1,"page":"\/Hosting-Security\/pages\/admin\/ManagerHostingSecurity\/admin-panel\/pages\/reports.php","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/145.0.0.0 Safari\/537.36","method":"GET","timestamp":"2026-03-01 00:34:54"}
{"user_id":1,"page":"\/Hosting-Security\/pages\/admin\/ManagerHostingSecurity\/admin-panel\/pages\/reports.php","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/145.0.0.0 Safari\/537.36","method":"GET","timestamp":"2026-03-01 00:35:14"}
{"user_id":1,"page":"\/Hosting-Security\/pages\/admin\/ManagerHostingSecurity\/admin-panel\/pages\/reports.php","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/145.0.0.0 Safari\/537.36","method":"GET","timestamp":"2026-03-01 00:35:48"}
{"user_id":1,"page":"\/Hosting-Security\/pages\/admin\/ManagerHostingSecurity\/admin-panel\/pages\/dashboard.php","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/145.0.0.0 Safari\/537.36","method":"GET","timestamp":"2026-03-01 00:35:59"}
{"user_id":1,"page":"\/Hosting-Security\/pages\/admin\/ManagerHostingSecurity\/admin-panel\/pages\/users-management.php","ip":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/145.0.0.0 Safari\/537.36","method":"GET","timestamp":"2026-03-01 00:36:01"}
